Accuracy;Precision;Recall;Specificity;F1-Score;ROC-AUC;Split_Index;Epoch;Val_Loss;Val_Accuracy;Val_F1;Val_AUC;Val_Precision;Val_Recall;Val_Specificity;TN;FP;FN;TP
0,924;0,9457;0,9158;0,9342;0,9305;0,9776;2;11;0,4008335769176483;0,9239766001701355;;;;;;71;5;8;87
0,9123;0,9348;0,9053;0,9211;0,9198;0,9748;2;12;0,41177070140838623;0,9122806787490845;;;;;;70;6;9;86
0,9181;0,9175;0,9368;0,8947;0,9271;0,9755;2;13;0,38123831152915955;0,9181286692619324;;;;;;68;8;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9762;2;14;0,3574030101299286;0,9122806787490845;;;;;;69;7;8;87
0,8947;0,9053;0,9053;0,8816;0,9053;0,9726;2;15;0,38677772879600525;0,8947368264198303;;;;;;67;9;9;86
0,9006;0,898;0,9263;0,8684;0,9119;0,9792;2;16;0,3221015930175781;0,9005848169326782;;;;;;66;10;7;88
0,9064;0,9158;0,9158;0,8947;0,9158;0,9799;2;17;0,2938580811023712;0,9064327478408813;;;;;;68;8;8;87
0,9064;0,9158;0,9158;0,8947;0,9158;0,972;2;18;0,37864238023757935;0,9064327478408813;;;;;;68;8;8;87
0,9006;0,9062;0,9158;0,8816;0,911;0,977;2;19;0,32363176345825195;0,9005848169326782;;;;;;67;9;8;87
0,9123;0,9082;0,9368;0,8816;0,9223;0,9758;2;20;0,3266044557094574;0,9122806787490845;;;;;;67;9;6;89
0,924;0,9556;0,9053;0,9474;0,9297;0,9784;2;21;0,3034293055534363;0,9239766001701355;;;;;;72;4;9;86
0,9064;0,9158;0,9158;0,8947;0,9158;0,9785;2;22;0,30988067388534546;0,9064327478408813;;;;;;68;8;8;87
0,8889;0,88;0,9263;0,8421;0,9026;0,9569;3;1;0,6830751895904541;0,8888888955116272;;;;;;64;12;7;88
0,8889;0,88;0,9263;0,8421;0,9026;0,9645;3;2;0,6330701112747192;0,8888888955116272;;;;;;64;12;7;88
0,9123;0,8922;0,9579;0,8553;0,9239;0,9752;3;3;0,5700242519378662;0,9122806787490845;;;;;;65;11;4;91
0,9006;0,9239;0,8947;0,9079;0,9091;0,9708;3;4;0,5733461380004883;0,9005848169326782;;;;;;69;7;10;85
0,9298;0,9192;0,9579;0,8947;0,9381;0,969;3;5;0,5574662685394287;0,9298245906829834;;;;;;68;8;4;91
0,9123;0,9082;0,9368;0,8816;0,9223;0,9722;3;6;0,5135687589645386;0,9122806787490845;;;;;;67;9;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9704;3;7;0,5012436509132385;0,9122806787490845;;;;;;69;7;8;87
0,9181;0,9355;0,9158;0,9211;0,9255;0,9716;3;8;0,4716559946537018;0,9181286692619324;;;;;;70;6;8;87
0,9123;0,9082;0,9368;0,8816;0,9223;0,9693;3;9;0,47505468130111694;0,9122806787490845;;;;;;67;9;6;89
0,9123;0,9;0,9474;0,8684;0,9231;0,9724;3;10;0,43518903851509094;0,9122806787490845;;;;;;66;10;5;90
0,9181;0,9091;0,9474;0,8816;0,9278;0,9708;3;11;0,428955078125;0,9181286692619324;;;;;;67;9;5;90
0,9123;0,9167;0,9263;0,8947;0,9215;0,9686;3;12;0,4150571823120117;0,9122806787490845;;;;;;68;8;7;88
0,9298;0,9368;0,9368;0,9211;0,9368;0,9694;3;13;0,40214526653289795;0,9298245906829834;;;;;;70;6;6;89
0,9298;0,9278;0,9474;0,9079;0,9375;0,9717;3;14;0,38071081042289734;0,9298245906829834;;;;;;69;7;5;90
0,9123;0,9;0,9474;0,8684;0,9231;0,9712;3;15;0,3728797435760498;0,9122806787490845;;;;;;66;10;5;90
0,9006;0,9149;0,9053;0,8947;0,9101;0,9709;3;16;0,36599838733673096;0,9005848169326782;;;;;;68;8;9;86
0,9181;0,9175;0,9368;0,8947;0,9271;0,9734;3;17;0,34102964401245117;0,9181286692619324;;;;;;68;8;6;89
0,9415;0,9293;0,9684;0,9079;0,9485;0,9809;3;18;0,2890077531337738;0,9415204524993896;;;;;;69;7;3;92
0,9123;0,8922;0,9579;0,8553;0,9239;0,9727;3;19;0,34106796979904175;0,9122806787490845;;;;;;65;11;4;91
0,9123;0,9444;0,8947;0,9342;0,9189;0,9752;3;20;0,31991174817085266;0,9122806787490845;;;;;;71;5;10;85
0,9181;0,9263;0,9263;0,9079;0,9263;0,9702;3;21;0,35824665427207947;0,9181286692619324;;;;;;69;7;7;88
0,9123;0,9255;0,9158;0,9079;0,9206;0,9713;3;22;0,35144853591918945;0,9122806787490845;;;;;;69;7;8;87
0,9006;0,9062;0,9158;0,8816;0,911;0,9731;3;23;0,3117499351501465;0,9005848169326782;;;;;;67;9;8;87
0,9181;0,9091;0,9474;0,8816;0,9278;0,9716;4;1;0,6222853064537048;0,9181286692619324;;;;;;67;9;5;90
0,9298;0,9368;0,9368;0,9211;0,9368;0,9765;4;2;0,5860756039619446;0,9298245906829834;;;;;;70;6;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9745;4;3;0,5836125612258911;0,9122806787490845;;;;;;69;7;8;87
0,9123;0,9167;0,9263;0,8947;0,9215;0,9711;4;4;0,5735442042350769;0,9122806787490845;;;;;;68;8;7;88
0,9123;0,9255;0,9158;0,9079;0,9206;0,9737;4;5;0,5538150668144226;0,9122806787490845;;;;;;69;7;8;87
0,9181;0,9451;0,9053;0,9342;0,9247;0,9747;4;6;0,5202693343162537;0,9181286692619324;;;;;;71;5;9;86
0,924;0,9271;0,9368;0,9079;0,9319;0,9755;4;7;0,4862530827522278;0,9239766001701355;;;;;;69;7;6;89
0,9064;0,899;0,9368;0,8684;0,9175;0,9719;4;8;0,500313937664032;0,9064327478408813;;;;;;66;10;6;89
0,924;0,9271;0,9368;0,9079;0,9319;0,9752;4;9;0,42851802706718445;0,9239766001701355;;;;;;69;7;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9765;4;10;0,4145497977733612;0,9122806787490845;;;;;;69;7;8;87
0,9181;0,9263;0,9263;0,9079;0,9263;0,9697;4;11;0,43934378027915955;0,9181286692619324;;;;;;69;7;7;88
0,9123;0,9348;0,9053;0,9211;0,9198;0,9715;4;12;0,41511061787605286;0,9122806787490845;;;;;;70;6;9;86
0,9181;0,9263;0,9263;0,9079;0,9263;0,9698;4;13;0,4400424659252167;0,9181286692619324;;;;;;69;7;7;88
0,9064;0,9247;0,9053;0,9079;0,9149;0,9713;4;14;0,4014396369457245;0,9064327478408813;;;;;;69;7;9;86
0,9123;0,9255;0,9158;0,9079;0,9206;0,9719;4;15;0,38154447078704834;0,9122806787490845;;;;;;69;7;8;87
0,9181;0,9355;0,9158;0,9211;0,9255;0,9712;4;16;0,3763943016529083;0,9181286692619324;;;;;;70;6;8;87
0,9123;0,9167;0,9263;0,8947;0,9215;0,9677;4;17;0,39464616775512695;0,9122806787490845;;;;;;68;8;7;88
0,924;0,9362;0,9263;0,9211;0,9312;0,9712;4;18;0,3652212619781494;0,9239766001701355;;;;;;70;6;7;88
0,9064;0,9247;0,9053;0,9079;0,9149;0,9699;4;19;0,38702112436294556;0,9064327478408813;;;;;;69;7;9;86
0,924;0,9362;0,9263;0,9211;0,9312;0,9717;4;20;0,35598093271255493;0,9239766001701355;;;;;;70;6;7;88
0,9181;0,9263;0,9263;0,9079;0,9263;0,9706;4;21;0,37765923142433167;0,9181286692619324;;;;;;69;7;7;88
0,924;0,9362;0,9263;0,9211;0,9312;0,9731;4;22;0,3548903167247772;0,9239766001701355;;;;;;70;6;7;88
0,9181;0,9451;0,9053;0,9342;0,9247;0,9719;4;23;0,36650964617729187;0,9181286692619324;;;;;;71;5;9;86
0,9298;0,9462;0,9263;0,9342;0,9362;0,968;4;24;0,38216471672058105;0,9298245906829834;;;;;;71;5;7;88
0,9123;0,9167;0,9263;0,8947;0,9215;0,9687;4;25;0,379668265581131;0,9122806787490845;;;;;;68;8;7;88
0,924;0,9362;0,9263;0,9211;0,9312;0,9659;4;26;0,40949103236198425;0,9239766001701355;;;;;;70;6;7;88
0,8947;0,914;0,8947;0,8947;0,9043;0,9638;4;27;0,45362675189971924;0,8947368264198303;;;;;;68;8;10;85
0,9181;0,901;0,9579;0,8684;0,9286;0,9659;5;1;0,6328883767127991;0,9181286692619324;;;;;;66;10;4;91
0,924;0,9184;0,9474;0,8947;0,9326;0,9745;5;2;0,5788791179656982;0,9239766001701355;;;;;;68;8;5;90
0,9298;0,9368;0,9368;0,9211;0,9368;0,9744;5;3;0,5584776401519775;0,9298245906829834;;;;;;70;6;6;89
0,9415;0,9474;0,9474;0,9342;0,9474;0,9733;5;4;0,5507234930992126;0,9415204524993896;;;;;;71;5;5;90
0,924;0,9271;0,9368;0,9079;0,9319;0,9799;5;5;0,4954925775527954;0,9239766001701355;;;;;;69;7;6;89
0,9298;0,9368;0,9368;0,9211;0,9368;0,9783;5;6;0,48259520530700684;0,9298245906829834;;;;;;70;6;6;89
0,9474;0,9388;0,9684;0,9211;0,9534;0,9824;5;7;0,43024876713752747;0,9473684430122375;;;;;;70;6;3;92
0,9298;0,9462;0,9263;0,9342;0,9362;0,9748;5;8;0,4494308531284332;0,9298245906829834;;;;;;71;5;7;88
0,9415;0,9381;0,9579;0,9211;0,9479;0,9783;5;9;0,39667078852653503;0,9415204524993896;;;;;;70;6;4;91
0,9357;0,9375;0,9474;0,9211;0,9424;0,9771;5;10;0,400237500667572;0,9356725215911865;;;;;;70;6;5;90
0,9532;0,9485;0,9684;0,9342;0,9583;0,9799;5;11;0,3465404510498047;0,9532163739204407;;;;;;71;5;3;92
0,9474;0,9388;0,9684;0,9211;0,9534;0,9771;5;12;0,35728877782821655;0,9473684430122375;;;;;;70;6;3;92
0,924;0,9271;0,9368;0,9079;0,9319;0,9744;5;13;0,3690715730190277;0,9239766001701355;;;;;;69;7;6;89
0,9415;0,9381;0,9579;0,9211;0,9479;0,9778;5;14;0,344465434551239;0,9415204524993896;;;;;;70;6;4;91
0,9415;0,9381;0,9579;0,9211;0,9479;0,9776;5;15;0,30775538086891174;0,9415204524993896;;;;;;70;6;4;91
0,9357;0,9565;0,9263;0,9474;0,9412;0,9791;5;16;0,3259061276912689;0,9356725215911865;;;;;;72;4;7;88
0,9415;0,9474;0,9474;0,9342;0,9474;0,9799;5;17;0,3016131818294525;0,9415204524993896;;;;;;71;5;5;90
0,9591;0,9583;0,9684;0,9474;0,9634;0,9724;5;18;0,3217179477214813;0,9590643048286438;;;;;;72;4;3;92
0,9474;0,9479;0,9579;0,9342;0,9529;0,9798;5;19;0,29574573040008545;0,9473684430122375;;;;;;71;5;4;91
0,9357;0,9286;0,9579;0,9079;0,943;0,978;5;20;0,2807038128376007;0,9356725215911865;;;;;;69;7;4;91
0,9298;0,9368;0,9368;0,9211;0,9368;0,9733;5;21;0,3343343138694763;0,9298245906829834;;;;;;70;6;6;89
0,9298;0,9278;0,9474;0,9079;0,9375;0,9759;5;22;0,32654330134391785;0,9298245906829834;;;;;;69;7;5;90
0,9298;0,9278;0,9474;0,9079;0,9375;0,9776;5;23;0,3021877408027649;0,9298245906829834;;;;;;69;7;5;90
