ExtractionMethod;Reduction;Classification;Metodo;Fold;Components;ACC2;ACC
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;1;300;68,5714;0,6857
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;2;300;85,7143;0,8571
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;3;300;64,7059;0,6471
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;4;300;76,4706;0,7647
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;5;300;64,7059;0,6471
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;6;300;70,5882;0,7059
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;7;300;76,4706;0,7647
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;8;300;73,5294;0,7353
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;9;300;52,9412;0,5294
Xception;UMAP;LinearSVM;Xception_UMAP_300_LinearSVM;10;300;67,6471;0,6765
Xception;UMAP;MLP;Xception_UMAP_300_MLP;1;300;60;0,6
Xception;UMAP;MLP;Xception_UMAP_300_MLP;2;300;54,2857;0,5429
Xception;UMAP;MLP;Xception_UMAP_300_MLP;3;300;67,6471;0,6765
Xception;UMAP;MLP;Xception_UMAP_300_MLP;4;300;61,7647;0,6176
Xception;UMAP;MLP;Xception_UMAP_300_MLP;5;300;52,9412;0,5294
Xception;UMAP;MLP;Xception_UMAP_300_MLP;6;300;50;0,5
Xception;UMAP;MLP;Xception_UMAP_300_MLP;7;300;52,9412;0,5294
Xception;UMAP;MLP;Xception_UMAP_300_MLP;8;300;52,9412;0,5294
Xception;UMAP;MLP;Xception_UMAP_300_MLP;9;300;35,2941;0,3529
Xception;UMAP;MLP;Xception_UMAP_300_MLP;10;300;73,5294;0,7353
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;1;300;74,2857;0,7429
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;2;300;85,7143;0,8571
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;3;300;64,7059;0,6471
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;4;300;76,4706;0,7647
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;5;300;73,5294;0,7353
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;6;300;73,5294;0,7353
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;7;300;85,2941;0,8529
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;8;300;79,4118;0,7941
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;9;300;52,9412;0,5294
Xception;UMAP;Logistic;Xception_UMAP_300_Logistic;10;300;76,4706;0,7647
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;1;300;82,8571;0,8286
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;2;300;85,7143;0,8571
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;3;300;82,3529;0,8235
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;4;300;76,4706;0,7647
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;5;300;82,3529;0,8235
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;6;300;79,4118;0,7941
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;7;300;82,3529;0,8235
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;8;300;88,2353;0,8824
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;9;300;76,4706;0,7647
Xception;UMAP;RandomForest;Xception_UMAP_300_RandomForest;10;300;82,3529;0,8235
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;1;300;82,8571;0,8286
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;2;300;77,1429;0,7714
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;3;300;73,5294;0,7353
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;4;300;85,2941;0,8529
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;5;300;85,2941;0,8529
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;6;300;73,5294;0,7353
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;7;300;82,3529;0,8235
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;8;300;85,2941;0,8529
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;9;300;70,5882;0,7059
Xception;UMAP;Adaboost;Xception_UMAP_300_Adaboost;10;300;76,4706;0,7647
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;1;300;71,4286;0,7143
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;2;300;82,8571;0,8286
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;3;300;73,5294;0,7353
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;4;300;79,4118;0,7941
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;5;300;73,5294;0,7353
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;6;300;79,4118;0,7941
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;7;300;73,5294;0,7353
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;8;300;76,4706;0,7647
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;9;300;67,6471;0,6765
Xception;UMAP;Gaussian;Xception_UMAP_300_Gaussian;10;300;79,4118;0,7941
VGG16;PCA;J48;VGG16_PCA_300_J48;1;300;62,8571;0,6286
VGG16;PCA;J48;VGG16_PCA_300_J48;2;300;74,2857;0,7429
VGG16;PCA;J48;VGG16_PCA_300_J48;3;300;67,6471;0,6765
VGG16;PCA;J48;VGG16_PCA_300_J48;4;300;73,5294;0,7353
VGG16;PCA;J48;VGG16_PCA_300_J48;5;300;64,7059;0,6471
VGG16;PCA;J48;VGG16_PCA_300_J48;6;300;58,8235;0,5882
